picked_depths_cm,category,interpreted_bed
5.826183097,1,T06
12.69136108,1,T07
27.3370741,1,T08
59.6034106,1,T11
87.52180104,1,T13
98.73492508,1,
104.9135853,1,T14
116.8132271,1,T15
128.0263511,1,
144.5027783,1,T16
153.6563489,1,T17
162.1234017,1,T17a
177.6844718,1,T18
189.3552744,1,
199.6530414,1,T19
210.4084869,1,T20
217.0448256,1,
230.5463423,1,
249.9976799,1,
264.6433929,1,
277.4583918,1,
307.8940142,1,
335.1258868,1,
353.6618674,1,
371.2824908,1,
387.0724002,1,
397.3701671,1,
409.0409697,1,
1.478237044,2,T06
9.029932821,2,T07
19.09886052,2,T08
52.73823262,2,T11
82.02965866,2,T13
95.07349682,2,
102.3963533,2,T14
112.6941203,2,T15
124.8226014,2,
134.8915291,2,T16
150.6814384,2,T17
159.6061698,2,T17a
174.4807221,2,T18
186.1515247,2,
194.8474168,2,T19
204.0009874,2,T20
214.2987544,2,
224.3676821,2,
6.741540161,3,T07
14.06439667,3,T08
29.16778822,3,T11
61.43412472,3,T13
92.55626489,3,
99.19260361,3,T14
105.3712638,3,T15
117.7285842,3,
128.9417082,3,T16
145.6469746,3,T17
155.2582238,3,T17a
164.1829551,3,T18
178.8286682,3,
193.0167026,3,T19
200.1107199,3,T20
211.5526832,3,
218.6467004,3,
