SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
0.0,0.0,591.0175,180.04292
0.5,49.61731,663.4206,151.54507
1.0,99.23463,620.0559,106.88844
1.5,148.85194,827.89825,287.31577
2.0,198.46925,876.39764,342.28476
2.5,248.08656,867.3578,328.39734
3.0,297.7039,875.6318,348.7264
3.5,347.32117,760.067,170.52187
4.0,396.93848,748.9559,164.71922
4.5,446.55582,769.8345,99.96304
5.0,496.17313,725.7563,150.77936
5.5,545.7904,656.5925,145.51549
6.0,595.4078,618.26013,63.424065
6.5,645.0251,599.71967,31.057383
7.0,694.64233,623.13043,54.042046
7.5,744.2597,659.8738,93.04678
8.0,793.87695,663.74805,80.58836
8.5,843.4943,798.46576,154.79143
9.0,893.1116,739.1227,108.78088
9.5,942.72894,795.9004,133.42513
10.0,992.34625,714.4572,112.64254
10.5,1041.9636,735.9434,109.4937
11.0,1091.5808,776.4715,79.9394
11.5,1141.1981,794.7899,144.20277
12.0,1190.8154,718.2486,130.93228
12.5,1240.4329,613.47,64.57326
13.0,1290.0502,551.5484,43.01815
13.5,1339.6675,568.19147,36.65058
14.0,1389.2848,560.622,29.603073
14.5,1438.9021,568.20746,24.996403
15.0,1488.5194,557.73334,24.848278
15.5,1538.1367,566.22424,21.60622
16.0,1587.7539,574.5672,21.742481
16.5,1637.3713,577.07043,31.771046
17.0,1686.9886,594.43225,55.759445
17.5,1736.606,634.4188,53.070847
18.0,1786.2231,680.81696,82.87058
18.5,1835.8406,701.22656,115.89505
19.0,1885.4579,820.4591,192.08987
19.5,1935.0752,885.2261,284.97693
20.0,1984.6925,1001.9022,162.33557
20.5,2034.3098,890.79626,149.36455
21.0,2083.9272,843.68286,145.48094
21.5,2133.5444,861.67,138.9889
22.0,2183.1616,735.4454,146.24081
22.5,2232.779,785.0492,120.09052
23.0,2282.3965,742.2474,112.1004
23.5,2332.0137,798.1615,108.053986
24.0,2381.6309,796.332,112.538864
24.5,2431.2483,999.68054,180.44556
25.0,2480.8657,995.79944,308.8015
25.5,2530.483,823.78723,253.13094
26.0,2580.1003,748.874,115.76889
26.5,2629.7175,702.7899,121.67859
27.0,2679.335,635.6548,112.52432
27.5,2728.9521,588.2279,88.00818
28.0,2778.5693,583.84686,102.276794
28.5,2828.1868,555.9743,34.351128
29.0,2877.8042,556.4076,30.086409
29.5,2927.4214,563.1859,24.692505
30.0,2977.0388,580.1095,31.683857
30.5,3026.656,589.2805,42.255447
31.0,3076.2734,634.1438,110.55524
31.5,3125.8906,581.3787,116.92337
32.0,3175.508,599.0887,73.09607
32.5,3225.1252,599.5289,160.66454
33.0,3274.7427,618.4244,63.4189
33.5,3324.3599,618.3582,42.77072
34.0,3373.9773,625.75165,60.197235
34.5,3423.5947,630.71356,63.378616
35.0,3473.212,636.3188,55.777466
35.5,3522.8293,663.0987,78.29293
36.0,3572.4465,642.6977,52.2859
36.5,3622.0637,649.1087,59.630768
37.0,3671.6812,673.0393,68.5186
37.5,3721.2983,586.71576,319.61414
38.0,3770.9155,661.11383,86.809746
38.5,3820.533,658.1445,78.23826
39.0,3870.1501,649.0082,98.85357
39.5,3919.7676,669.8718,105.12226
40.0,3969.385,631.2654,61.63528
40.5,4019.0022,633.6994,104.46646
41.0,4068.6196,624.9541,52.91299
41.5,4118.237,618.843,49.743427
42.0,4167.8545,625.39746,30.256966
42.5,4217.4717,617.2966,44.092464
43.0,4267.089,617.06744,33.17648
43.5,4316.706,619.5938,53.706825
44.0,4366.323,618.13446,73.06569
44.5,4415.941,631.546,82.53135
45.0,4465.558,635.0325,87.66294
45.5,4515.1753,651.5059,49.389248
46.0,4564.7925,612.57086,200.02531
46.5,4614.41,609.71326,139.34383
47.0,4664.0273,666.2837,93.59709
47.5,4713.6445,674.024,108.672005
48.0,4763.2617,675.1877,86.73547
48.5,4812.8794,676.45605,80.81037
49.0,4862.4966,697.9722,72.77502
49.5,4912.114,703.09454,69.11009
50.0,4961.7314,697.8563,83.55404
50.5,5011.3486,697.4969,107.52964
51.0,5060.966,710.4753,125.330605
51.5,5110.583,708.5476,146.15527
52.0,5160.2007,713.59326,156.90588
52.5,5209.818,684.81146,104.79518
53.0,5259.435,700.4963,88.715294
53.5,5309.0522,731.26184,123.564606
54.0,5358.6694,718.4062,145.82243
54.5,5408.287,777.21,165.56204
55.0,5457.9043,755.621,113.50646
55.5,5507.5215,829.08527,142.12045
56.0,5557.1387,861.3761,158.18068
56.5,5606.7563,829.2505,141.43185
57.0,5656.3735,810.8163,132.00885
57.5,5705.9907,920.9804,110.82248
58.0,5755.6084,899.6435,137.40437
58.5,5805.2256,864.2627,141.86284
59.0,5854.843,702.5661,383.58066
59.5,5904.4604,853.6649,140.89136
60.0,5954.0776,889.80615,205.52931
60.5,6003.695,866.93787,234.7595
61.0,6053.312,830.64966,227.52182
61.5,6102.929,789.8694,217.91373
62.0,6152.547,757.683,196.36472
62.5,6202.164,743.735,178.44408
63.0,6251.7812,690.7727,110.046974
63.5,6301.3984,704.3668,118.96223
64.0,6351.016,761.5975,205.15913
64.5,6400.6333,761.447,204.33604
65.0,6450.2505,791.1905,262.08017
65.5,6499.8677,756.57733,255.68024
66.0,6549.4854,767.4274,241.49268
66.5,6599.102,,
67.0,6648.7197,,
67.5,6698.337,,
68.0,6747.9546,746.7246,233.53339
68.5,6797.572,733.7574,234.5298
69.0,6847.1895,676.96344,141.81976
69.5,6896.806,638.1015,51.518456
70.0,6946.424,633.0975,63.48815
70.5,6996.041,650.7322,51.123695
71.0,7045.6587,687.2622,79.122215
71.5,7095.2754,720.7432,120.9685
72.0,7144.893,726.9704,116.22654
72.5,7194.5103,691.9724,189.27664
73.0,7244.1274,634.7189,135.91129
73.5,7293.745,669.3887,130.9223
74.0,7343.3623,701.10223,251.85287
74.5,7392.9795,650.9682,152.55652
75.0,7442.5967,661.42615,207.49689
75.5,7492.2144,671.68304,232.49324
76.0,7541.831,670.7808,229.67699
76.5,7591.4487,702.5772,292.72885
77.0,7641.066,700.23914,269.32755
77.5,7690.6836,642.2223,151.22693
78.0,7740.3003,602.19965,24.096928
78.5,7789.9185,613.83875,23.320585
79.0,7839.535,608.91614,43.753544
79.5,7889.153,610.7062,54.049652
