SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
0.050384484,5.0,,,,,,,,
0.55038446,54.61845,93.921684,11.407543,88.95672,11.399648,60.389576,9.296842,87.94972,11.170824
1.0503845,104.23691,119.572266,12.499839,115.429924,11.821174,86.60842,10.448285,114.229675,11.729882
1.5503845,153.85535,130.11179,12.1522665,125.98919,11.532449,95.74014,9.353929,124.68167,11.397925
2.0503845,203.47382,126.97339,7.5055895,122.86684,7.0754066,93.18347,5.7494307,121.59675,6.9167614
2.5503845,253.09225,123.092026,7.106411,118.628006,6.6259947,89.52826,5.981506,117.47605,6.503812
3.0503845,302.71072,124.090324,7.651886,120.25292,6.465231,92.824776,5.426358,119.08845,6.4580293
3.5503845,352.32916,117.78284,14.792512,114.71501,13.786179,87.78955,11.264975,113.42321,13.702159
4.0503845,401.94763,118.18703,13.768366,114.56742,12.637852,87.74638,10.401028,113.400475,12.606306
4.5503845,451.56604,113.84354,12.765414,110.49356,11.373466,84.711105,9.111648,109.34428,11.371898
5.0503845,501.1845,117.404686,21.29463,114.73003,20.200836,89.39323,17.10346,113.46934,20.133018
5.5503845,550.803,117.253136,23.698854,113.53195,22.393885,87.96287,18.903955,112.47699,22.349941
6.0503845,600.42145,110.983536,15.502856,107.25302,14.134514,82.0868,11.957885,106.229126,14.164902
6.5503845,650.03986,108.423294,13.457921,106.00439,13.133168,82.0697,10.376609,104.790565,12.886429
7.0503845,699.6583,112.72241,8.973237,110.08694,8.070563,84.89152,6.2862372,108.82813,7.969616
7.5503845,749.27673,117.278175,8.125927,114.82643,7.569752,89.03372,6.0436344,113.485435,7.4227505
8.0503845,798.8952,126.385544,8.034283,123.640015,7.9789567,95.05817,6.536525,122.1601,7.7339015
8.5503845,848.5137,136.3336,4.97099,132.70251,3.8206878,100.5872,3.84654,131.15576,3.8320327
9.0503845,898.1321,136.17204,4.976441,132.68346,4.4873977,100.393166,4.6847486,131.09377,4.3643765
9.5503845,947.7506,134.61858,7.5920696,130.82938,6.654615,100.15695,6.021525,129.42041,6.6652207
10.0503845,997.369,125.51673,5.9457912,120.59923,4.9548693,90.37769,4.815505,119.46269,4.925936
10.5503845,1046.9874,120.6869,7.4549627,116.04466,6.3468413,86.257805,6.190042,114.88099,6.347932
11.0503845,1096.606,115.05044,7.9255366,111.03926,6.423243,84.10814,6.104946,109.94761,6.480347
11.5503845,1146.2244,117.098946,8.509167,113.75773,7.2471533,88.97645,6.731425,112.67886,7.2372003
12.0503845,1195.8429,125.23883,12.09541,123.89492,11.023034,99.38986,9.853342,122.41137,10.975622
12.5503845,1245.4613,123.42027,10.802634,120.13894,9.276144,95.04058,9.018113,119.024445,9.391479
13.0503845,1295.0797,135.24796,9.445298,133.51183,8.080365,109.392235,7.6692705,132.1395,8.111727
13.5503845,1344.6982,120.3933,10.73328,118.16239,9.461959,96.06629,8.515551,117.04134,9.475989
14.0503845,1394.3167,114.22686,8.11566,112.59554,6.7097635,89.30737,6.091178,111.260956,6.759318
14.5503845,1443.935,110.58248,7.5314436,108.84992,6.5718513,84.95736,6.0302415,107.49322,6.5556207
15.0503845,1493.5535,118.770775,10.835214,116.23028,10.537683,89.6257,8.733965,114.84953,10.34147
15.5503845,1543.172,137.7471,6.508389,133.91641,5.736606,102.928795,5.436805,132.49352,5.7220674
16.050385,1592.7904,138.4059,5.9734797,133.81453,5.604853,102.96334,5.5968676,132.56319,5.493917
16.550385,1642.4089,137.34529,7.653133,132.62746,7.193757,101.5105,6.673858,131.38382,7.103394
17.050385,1692.0273,140.25224,6.1036963,135.42029,5.2780533,102.91887,5.7852893,134.10097,5.291414
17.550385,1741.6458,139.25594,6.384608,134.00903,5.7806497,101.47207,6.3304777,132.77536,5.7592363
18.050385,1791.2642,139.5993,6.848584,134.53433,6.422023,101.37017,6.8869553,133.21669,6.351559
18.550385,1840.8826,138.82016,6.8874865,133.41025,6.5500627,100.33398,7.1500382,132.17229,6.4612255
19.050385,1890.5012,137.17696,7.2149553,131.89938,6.6000867,99.223656,7.1427636,130.6622,6.5655074
19.550385,1940.1196,127.85646,7.4824657,122.31034,7.4211054,90.9729,7.057221,121.226875,7.233513
20.050385,1989.738,126.982086,7.908298,121.227516,8.007542,89.5016,8.075483,120.160324,7.8384843
20.550385,2039.3564,123.10351,7.3832655,117.4344,7.3146143,87.34317,6.506164,116.467064,7.1080694
21.050385,2088.9749,121.717514,6.7126646,116.07928,6.3958993,86.30339,5.3336124,115.12814,6.2033467
21.550385,2138.5935,120.91016,6.093383,115.60603,5.770231,86.70303,5.0813575,114.6469,5.5979953
22.050385,2188.212,122.61717,7.664609,118.99687,6.981329,91.706795,5.981163,117.7962,6.8437996
22.550385,2237.8303,119.57408,7.04099,116.70431,6.277917,91.426445,5.5932503,115.48936,6.176562
23.050385,2287.4487,117.540726,6.873778,114.68009,6.2180243,89.88985,5.3538103,113.49841,6.08823
23.550385,2337.0671,115.85697,8.229958,113.5934,7.215608,89.8133,6.28515,112.35772,7.1571627
24.050385,2386.6858,118.12487,10.158686,115.67057,9.263633,90.56558,7.75599,114.379776,9.136539
24.550385,2436.3042,111.8084,15.057405,110.10254,13.594769,86.8861,10.98375,108.78899,13.579256
