SB_DEPTH_cm,hiresMS
1.0,34.6
1.5,44.85
2.0,55.1
2.5,60.1
3.0,65.1
3.5,85.45
4.0,105.8
4.5,115.5
5.0,125.2
5.5,114.25
6.0,103.3
6.5,78.05
7.0,52.8
7.5,57.85
8.0,62.9
8.5,58.6
9.0,54.3
9.5,47.949997
10.0,41.6
10.5,69.899994
11.0,98.2
11.5,98.05
12.0,97.9
12.5,78.95
13.0,60.0
13.5,53.75
14.0,47.5
14.5,47.3
15.0,47.1
15.5,47.15
16.0,47.2
16.5,49.85
17.0,52.5
17.5,55.25
18.0,58.0
18.5,66.7
19.0,75.4
19.5,100.600006
20.0,125.8
20.5,126.15
21.0,126.5
21.5,108.95
22.0,91.4
22.5,101.4
23.0,111.4
23.5,126.899994
24.0,142.4
24.5,162.85
25.0,183.3
25.5,156.20001
26.0,129.1
26.5,100.25
27.0,71.4
27.5,54.4
28.0,37.4
28.5,33.2
29.0,29.0
29.5,33.4
30.0,37.8
30.5,39.75
31.0,41.7
31.5,44.7
32.0,47.7
32.5,45.050003
33.0,42.4
33.5,28.150002
34.0,13.9
34.5,33.7
35.0,53.5
35.5,52.75
36.0,52.0
36.5,40.8
37.0,29.6
37.5,47.649998
38.0,65.7
38.5,56.949997
39.0,48.2
39.5,44.6
40.0,41.0
40.5,29.2
41.0,17.4
41.5,11.549999
42.0,5.7
42.5,10.25
43.0,14.8
43.5,18.25
44.0,21.7
44.5,29.65
45.0,37.6
45.5,41.15
46.0,44.7
46.5,43.6
47.0,42.5
47.5,45.75
48.0,49.0
48.5,47.3
49.0,45.6
49.5,39.5
50.0,33.4
50.5,49.65
51.0,65.9
51.5,64.5
52.0,63.1
52.5,71.1
53.0,79.1
53.5,78.0
54.0,76.9
54.5,76.850006
55.0,76.8
55.5,112.05
56.0,147.3
56.5,139.15
57.0,131.0
57.5,118.6
58.0,106.2
58.5,103.0
59.0,99.8
59.5,85.600006
60.0,71.4
60.5,68.4
61.0,65.4
61.5,59.45
62.0,53.5
62.5,56.75
63.0,60.0
63.5,59.7
64.0,59.4
64.5,53.9
65.0,48.4
65.5,46.7
66.0,45.0
66.5,45.65
67.0,46.3
67.5,50.65
68.0,55.0
68.5,58.75
69.0,62.5
69.5,63.45
70.0,64.4
70.5,54.550003
71.0,44.7
71.5,43.35
72.0,42.0
72.5,38.5
73.0,35.0
73.5,34.4
74.0,33.8
74.5,34.4
75.0,35.0
75.5,35.35
76.0,35.7
76.5,38.9
77.0,42.1
77.5,44.199997
78.0,46.3
78.5,47.3
79.0,48.3
79.5,51.0
80.0,53.7
80.5,54.1
81.0,54.5
81.5,52.15
82.0,49.8
82.5,56.25
83.0,62.7
83.5,67.45
84.0,72.2
84.5,87.7
85.0,103.2
85.5,101.899994
86.0,100.6
86.5,75.1
87.0,49.6
87.5,
88.0,
88.5,
89.0,
89.5,
90.0,
90.5,
91.0,
91.5,
92.0,
92.5,
93.0,57.8
93.5,64.45
94.0,71.1
94.5,77.95
95.0,84.8
95.5,87.5
96.0,90.2
96.5,95.649994
97.0,101.1
97.5,112.2
98.0,123.3
98.5,100.95
99.0,78.6
99.5,74.75
100.0,70.9
100.5,70.350006
101.0,69.8
101.5,71.05
102.0,72.3
102.5,74.600006
103.0,76.9
103.5,72.9
104.0,68.9
104.5,65.45
105.0,62.0
105.5,60.25
106.0,58.5
106.5,61.05
107.0,63.6
107.5,64.55
108.0,65.5
108.5,65.9
109.0,66.3
109.5,68.0
110.0,69.7
110.5,73.5
111.0,77.3
111.5,81.25
112.0,85.2
112.5,99.3
113.0,113.4
113.5,135.7
114.0,158.0
114.5,160.9
115.0,163.8
115.5,120.9
116.0,78.0
116.5,72.3
117.0,66.6
117.5,63.85
118.0,61.1
118.5,64.899994
119.0,68.7
119.5,67.399994
120.0,66.1
120.5,72.6
121.0,79.1
121.5,69.25
122.0,59.4
122.5,64.3
123.0,69.2
123.5,79.649994
124.0,90.1
124.5,83.899994
125.0,77.7
125.5,129.5
126.0,181.3
126.5,157.95001
127.0,134.6
127.5,127.850006
128.0,121.1
128.5,119.55
129.0,118.0
129.5,119.8
130.0,121.6
130.5,125.3
131.0,129.0
131.5,125.15
132.0,121.3
132.5,137.20001
133.0,153.1
133.5,142.05
134.0,131.0
134.5,142.05
135.0,153.1
135.5,166.1
136.0,179.1
136.5,184.45001
137.0,189.8
137.5,206.90001
138.0,224.0
138.5,241.1
139.0,258.2
139.5,272.6
140.0,287.0
140.5,266.3
141.0,245.6
141.5,200.5
142.0,155.4
142.5,186.2
143.0,217.0
143.5,167.8
144.0,118.6
144.5,91.85
145.0,65.1
145.5,60.949997
146.0,56.8
146.5,68.6
147.0,80.4
147.5,80.15
148.0,79.9
148.5,83.600006
149.0,87.3
149.5,80.65
150.0,74.0
150.5,83.2
151.0,92.4
151.5,120.5
152.0,148.6
152.5,160.75
153.0,172.9
153.5,118.149994
154.0,63.4
154.5,56.95
155.0,50.5
155.5,50.7
156.0,50.9
156.5,38.800003
157.0,26.7
157.5,42.75
158.0,58.8
158.5,57.65
159.0,56.5
159.5,63.6
160.0,70.7
160.5,123.7
161.0,176.7
161.5,136.35
162.0,96.0
162.5,81.0
163.0,66.0
163.5,54.4
164.0,42.8
164.5,37.85
165.0,32.9
165.5,43.7
166.0,54.5
166.5,63.5
167.0,72.5
167.5,66.9
168.0,61.3
168.5,56.15
169.0,51.0
169.5,39.95
170.0,28.9
170.5,45.75
171.0,62.6
171.5,69.1
172.0,75.6
172.5,71.899994
173.0,68.2
173.5,70.3
174.0,72.4
174.5,86.05
175.0,99.7
175.5,170.15
176.0,240.6
176.5,221.65
177.0,202.7
177.5,141.9
178.0,81.1
178.5,57.0
179.0,32.9
179.5,32.7
180.0,32.5
180.5,33.2
181.0,33.9
181.5,53.2
182.0,72.5
182.5,82.25
183.0,92.0
183.5,66.95
184.0,41.9
184.5,32.550003
185.0,23.2
185.5,58.85
186.0,94.5
186.5,102.8
187.0,111.1
187.5,
188.0,
188.5,
189.0,
189.5,
190.0,
190.5,
191.0,
191.5,
192.0,
192.5,
193.0,55.7
193.5,84.45
194.0,113.2
194.5,78.45
195.0,43.7
195.5,30.0
196.0,16.3
196.5,18.7
197.0,21.1
197.5,44.5
198.0,67.9
198.5,83.9
199.0,99.9
199.5,86.75
200.0,73.6
200.5,60.55
201.0,47.5
201.5,40.95
202.0,34.4
202.5,42.0
203.0,49.6
203.5,87.85
204.0,126.1
204.5,131.45
