SB_DEPTH_pxl,SB_DEPTH_cm,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
5,0.05070915096172528,,,,,,,,
15,0.15212745288517585,,,,,,,,
25,0.2535457548086264,,,,,,,,
35,0.3549640567320769,,,,,,,,
45,0.4563823586555275,,,,,,,,
55,0.557800660578978,110.74345632476127,6.764094946110677,105.66282103593814,6.520731247337219,80.45127194604139,6.269554724220852,104.92269025405137,6.457676832244386
65,0.6592189625024286,114.47475052765387,7.18456066576099,109.33512079135284,7.128283134107399,83.95119076272637,6.650714536047988,108.5950863252236,7.0214906185524235
75,0.7606372644258792,112.18568228544424,6.833514761819132,106.86111960031181,6.8720500114594625,81.73659778045337,6.651282507907779,106.17913115177718,6.762268702364626
85,0.8620555663493298,112.61914503428892,6.582657347910493,107.1175990067228,6.620455304584421,82.48720798453381,6.463116273130169,106.5089134603813,6.5135096709845115
95,0.9634738682727803,111.0781765941394,6.405783983245142,105.49295049922874,6.619081640227744,80.96046515583286,6.582188086039475,104.90912412521355,6.483396922773644
105,1.0648921701962308,111.00160933251915,8.159264672750847,105.4147096362616,8.185753944506272,80.83536345515277,7.535432566216753,104.82785571740988,8.058852951076203
115,1.1663104721196813,113.74129473737906,7.809135409249862,108.16234464751925,7.89724459289441,84.05035164252962,7.367310974840142,107.60754354166318,7.76561066943372
125,1.267728774043132,115.26929276709019,5.3404494192904775,110.27903195099913,5.399883965419998,85.77039542679644,5.641630913131415,109.57043784345265,5.305186458553656
135,1.3691470759665825,119.1800807144368,5.16167256226119,113.78104276936772,5.038490849450856,88.99040441821397,5.516640774964417,113.1389941475361,4.99545987142801
145,1.4705653778900332,121.40806250748491,5.395295787999023,116.7362043476398,5.23229190317207,92.82420670360361,5.701803135850973,116.00299516252345,5.202933331790472
155,1.5719836798134836,120.88631728759177,5.074679792853929,115.82032601055391,4.773734433334138,92.25852944835458,5.0114747969036015,115.19619404426136,4.742039961553677
165,1.673401981736934,120.95828214550806,5.071171821186894,116.18224230181902,4.665048235549124,92.51835605745936,4.818201423768002,115.48909578574451,4.660461714632342
175,1.7748202836603848,119.58802104274139,5.70131323819346,114.52244816604026,5.430888601324833,90.61588972638145,5.37497189201953,113.87333544028353,5.389974384348937
185,1.8762385855838353,118.1955847221284,5.314470675429492,112.7798107635904,5.2040657182629815,88.41552235555703,5.019015345662932,112.17210268411557,5.1164171126711855
195,1.977656887507286,117.54329859717778,5.101924244831552,112.09530781271216,4.912631083238391,87.3695215137504,4.7899180619296615,111.46834888270449,4.846887106912577
205,2.0790751894307364,119.04200860331832,5.65332366312066,114.12915184952097,5.389487452439239,89.06822688084438,5.202795848387673,113.36422641263982,5.3411806834036915
215,2.180493491354187,119.90307649629354,6.848603872323176,115.01783416471987,6.523510708199995,89.92008996641168,6.222548044008982,114.24437955329458,6.4921848489780976
225,2.2819117932776374,121.45283134351423,7.848712401406997,116.42114889408764,7.585994967042886,90.7384810250412,7.470537062353683,115.63659596269059,7.56294736125163
235,2.3833300952010883,121.92060291997016,8.217793842631975,117.25460236483916,7.9605149959032175,91.39285915167541,7.513900835118866,116.37937622286958,7.915647237918272
245,2.4847483971245388,119.69052912523843,7.963357359807483,114.78896918053258,7.509061448676525,88.86781311955421,6.924622152868704,113.95953335717441,7.484228046480449
255,2.5861666990479892,117.89517328036155,7.281636695139356,112.92415887975973,6.811766217362425,86.88626912483575,6.331108689637227,112.10106090102217,6.786945052704051
265,2.6875850009714397,117.28932959278715,6.9947477895918455,112.90951486797444,6.532902570833274,87.29839345650755,6.411932925413366,111.99154051256173,6.5135377892641655
275,2.78900330289489,120.07545743502327,7.251529027729256,116.05504859945532,6.797720547359975,91.11838853078535,6.936519922843154,115.10936066093912,6.797755983533944
285,2.890421604818341,119.49137056495846,7.666539555757865,115.60736023916209,7.549593726817357,91.39202235100197,7.692519420839963,114.68475343890123,7.487556351783601
295,2.9918399067417916,117.87592686487228,7.950112200466105,114.05927899328827,7.964090245596166,89.94686758796195,8.203290842095019,113.1297822273225,7.885058704842769
305,3.093258208665242,118.2102287339137,7.98242860036969,113.89024525725233,7.872032479607792,89.49834242699525,8.106375673505392,113.04757836004596,7.8125891731091945
315,3.1946765105886925,117.46547613454737,7.369434168238428,113.29193277573894,7.173286343092683,88.28874705353007,7.547939520160453,112.37399808467812,7.135244945592102
325,3.296094812512143,115.50527055700177,7.115132898266904,111.16185666148392,6.89735749689691,85.74319940490946,6.9673244190291586,110.25003940174632,6.844072977998647
335,3.397513114435594,112.31078398612432,6.793458497702035,107.68704186500231,6.604680510062542,81.93240913803957,6.504053108639258,106.81056495706615,6.531816705271982
345,3.4989314163590444,112.6593114666143,6.430910840619702,108.15690544314185,5.994090419738428,82.35624867913961,6.146898743268836,107.25130954537113,5.975399474912065
355,3.600349718282495,112.53462816627095,6.197085456890199,108.10544220172497,5.750092576646049,83.17045573440188,6.006751121862799,107.24678111484673,5.739765466744069
365,3.7017680202059453,112.18233508275047,5.331240441023083,108.03096694178834,4.955925746013554,83.55956804755395,5.325512392249219,107.14671280839316,4.919573212706204
375,3.803186322129396,112.044262971632,5.242383946259564,108.10125819835774,4.724263227213319,82.67297773403865,5.246184712722189,107.103619163632,4.723786317175497
385,3.9046046240528467,113.81409639596882,5.2288871320769585,109.87820442841884,4.6434331049343225,84.205159767117,5.023464840127778,108.86138123617397,4.643041056119188
395,4.006022925976297,114.08814861652215,5.163946827766529,110.23802871800031,4.621685298676231,84.93694195604492,4.979983871459827,109.22982574421287,4.607832343992038
405,4.107441227899748,111.42503047328248,5.841707476414751,107.59708579260695,5.3506501698391755,82.71398096703749,5.57301899871156,106.61434666331243,5.343782044380923
415,4.208859529823198,113.15762626765097,6.3469986324246195,109.34599920010763,5.803555293094053,84.0110220108777,5.906130100158648,108.32716576160495,5.802665119737038
425,4.310277831746649,117.18765831096354,5.948841147652205,113.45594570773422,5.085038619322375,87.55236246089821,5.353989073578689,112.3790690967592,5.145669772626661
435,4.411696133670099,116.59645863517443,5.9939516714768395,112.69571229590916,5.044288647569645,87.03647484571918,5.254474344784643,111.67241402373325,5.119139129970162
445,4.5131144355935495,116.18349750282917,5.859507743829681,112.9291796838004,5.199255142806516,87.89084833330683,5.304774845363374,111.81328012862028,5.193548279297231
455,4.614532737517,114.49776254617362,5.970472892493525,110.61919142475465,5.371789288495966,85.7013593712372,5.479512529413542,109.64470817090437,5.376924754234297
465,4.715951039440451,116.0784790183118,6.180471321832988,112.52751536054666,5.514838858933233,87.26743183159007,5.566458565371703,111.45867220339683,5.544653402581945
475,4.817369341363902,115.48225853848201,6.1215256889112215,112.19656069419904,5.40303493973526,87.077478078718,5.57417473712477,111.08150229105587,5.444419065394427
485,4.918787643287352,112.91328047100494,6.007954190903922,109.59913140382483,5.364234506432395,85.00514121093072,5.540884806599033,108.52803340358035,5.38988147083971
495,5.020205945210803,113.5517593848437,5.856377634681698,109.94389328128429,5.378907011652088,85.25241580993381,5.508565824241369,108.92820094146951,5.36591461249349
505,5.121624247134253,114.62077224517007,5.616929766340327,111.42126487025196,5.035264406165777,85.96662518471938,5.204109049587643,110.2636551528641,5.046570853253913
515,5.223042549057704,116.11697184929028,5.026487139145987,112.99988934070653,4.319186145560296,88.42221676094461,4.615367564994147,111.8880731217726,4.349370621254318
525,5.324460850981154,114.50864095492841,4.907516178271856,111.0024461331926,4.292732444492668,86.6009200951909,4.700640973314171,109.98607297234992,4.31666518160851
535,5.425879152904605,112.858888427231,4.984242686707781,109.51419613547012,4.268817049253809,85.84319708538618,4.5427352993543435,108.51623158528243,4.288522296929195
545,5.527297454828055,109.84222199946069,5.629206547995908,106.79584914778306,5.252003412032403,84.17670854421986,4.757461638310917,105.81040606447247,5.155613525925755
555,5.628715756751506,113.2618079514949,4.893044843448709,109.98154931158933,4.336860412787112,86.50887202111193,4.514261308342706,108.98420499806079,4.321807272046511
565,5.730134058674957,114.86428124114265,4.874714252138273,111.91372206657454,4.205328049034938,87.53018724305191,4.685907365708375,110.78051973282939,4.2299407890655445
575,5.831552360598407,115.06009259872886,4.4958647666494596,112.09698141405904,3.754332302820303,87.7979634585544,4.258427108686963,110.97254975553241,3.7803979040216595
585,5.932970662521858,116.55252659981855,4.918339195297534,113.2208047184961,4.0391344815442825,88.72681220607869,4.400400690846233,112.1606625310687,4.090299370749471
595,6.034388964445308,115.43414249975892,4.865884355387004,112.59696981644262,4.228561131165068,88.12347892052463,4.657276457329971,111.4331666862304,4.246772574604314
605,6.135807266368759,116.64039067053031,4.542066802679151,114.34462802293314,3.7433989902226554,90.09330770581488,4.194007229369067,113.08176183491634,3.7805423527767643
615,6.237225568292209,116.95251732172541,4.858960674876881,114.0651365980024,4.13775357410274,89.92008996641168,4.584419719004795,112.93572137306506,4.164103107948097
625,6.33864387021566,115.83999082637987,5.368036900022204,112.7852499679678,4.833317829400421,88.34355749764075,5.284152473197571,111.6699976781086,4.837400600443924
635,6.44006217213911,117.7985228025786,5.551064672655148,115.0923094246565,5.20733740408666,90.56191608294424,5.797528080138982,113.89655598953111,5.185763722503797
645,6.541480474062561,118.85791245516035,5.9417945807643,116.11613504861684,5.455637172686615,91.8267403008568,5.963204370135237,114.94534262445973,5.470590684981
655,6.642898775986011,117.76588757631424,6.186446188240871,115.02452857010744,5.9376688186526545,90.78785226477446,6.33507018429946,113.85745346558194,5.907407687527836
