SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
0.0,0.0,518.994140625,
0.5,49.449184,533.4863,30.175215
1.0,98.89838,527.10205,68.31321
1.5,148.34755,532.53625,35.599804
2.0,197.79675,527.33185,29.449478
2.5,247.24593,505.0855,122.59612
3.0,296.6951,536.8169,72.05093
3.5,346.1443,604.0019,261.45868
4.0,395.59348,613.32214,360.83847
4.5,445.04266,646.21405,276.73584
5.0,494.49185,618.04877,243.79585
5.5,543.94104,607.3649,231.91885
6.0,593.3902,583.8375,194.37512
6.5,642.83936,580.6724,168.14993
7.0,692.2886,512.5548,123.65926
7.5,741.73773,526.1046,178.57315
8.0,791.18695,560.15845,246.73174
8.5,840.63617,559.9405,283.5913
9.0,890.0853,582.6569,248.05728
9.5,939.53455,602.6246,225.84576
10.0,988.9837,590.844,226.76456
10.5,1038.4329,592.6976,221.53282
11.0,1087.8821,592.60077,225.89833
11.5,1137.3312,577.45245,226.94559
12.0,1186.7804,577.6619,234.86577
12.5,1236.2296,581.6963,246.59634
13.0,1285.6787,591.1713,237.21011
13.5,1335.1279,561.49194,225.226
14.0,1384.5771,575.7896118164062,
14.5,1434.0264,580.74755859375,
15.0,1483.4756,570.86,272.99124
15.5,1532.9247,550.95105,244.39346
16.0,1582.3739,522.35046,210.61118
16.5,1631.823,499.1935,137.49065
17.0,1681.2722,473.50827,38.073215
17.5,1730.7214,482.49243,36.658257
18.0,1780.1707,490.18817,46.888958
18.5,1829.6199,490.12103,40.747932
19.0,1879.0691,489.56433,38.076756
19.5,1928.5182,503.79388,44.876686
20.0,1977.9674,485.87003,33.35982
20.5,2027.4165,501.2549,37.730812
21.0,2076.8657,508.49866,40.147896
21.5,2126.315,503.54517,40.410225
22.0,2175.7642,491.94638,51.649323
22.5,2225.2134,515.14594,34.737347
23.0,2274.6626,518.602,34.983913
23.5,2324.1116,493.9994,34.533234
24.0,2373.5608,487.38678,36.51836
24.5,2423.01,480.86758,37.16118
25.0,2472.4592,471.26154,31.786417
25.5,2521.9084,466.5881,23.470562
26.0,2571.3577,456.81903,17.979595
26.5,2620.807,464.99384,19.156336
27.0,2670.256,470.2363,20.72007
27.5,2719.705,466.53088,17.937048
28.0,2769.1543,462.03702,15.062863
28.5,2818.6035,466.77798,17.185736
29.0,2868.0527,458.84124755859375,
29.5,2917.502,463.20330810546875,
30.0,2966.9512,466.04102,17.28821
