SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
0.9987469,1.0,1.0,11.346,13.0,,,,,
1.4987469,1.0,1.5006274,11.349004,11.998745,,,,,
1.9987469,1.0,2.0012548,11.352007,10.987453,,1.1552979,,,0.92500126
2.4987469,1.0,2.501882,11.354509,5.9811797,,1.1544468,,,0.9255019
2.9987469,1.0,3.0025094,11.356546,1.0150564,,1.1536027,27.372257,1268.8657,0.9259983
3.4987469,1.0,3.5031366,11.265932,4.0188203,,1.1541535,29.298872,1258.4366,0.9256478
3.9987469,1.0,4.003764,11.175762,6.9811797,,1.1547832,31.217987,1248.1534,0.92525184
4.498747,1.0,4.5043917,11.144223,4.4780426,,1.1658471,32.147152,1257.1127,0.9188438
4.998747,1.0,5.0050187,11.11284,2.045169,,1.1765927,33.08806,1265.7383,0.9126205
5.498747,1.0,5.505646,11.09682,6.5508156,,1.1559168,35.18854,1241.4248,0.9246355
5.998747,1.0,6.0062733,11.081007,11.018821,1072.1826,1.135468,37.289303,1217.3824,0.93651885
6.498747,1.0,6.506901,11.081507,12.520702,1072.2312,1.1329148,39.412262,1214.703,0.9380207
6.998747,1.0,7.0075283,11.082023,13.962359,1072.2852,1.1308991,41.51477,1212.6063,0.9392101
7.498747,1.0,7.5081553,11.083525,11.459222,1072.6902,1.1640906,42.277676,1248.6766,0.919936
7.998747,1.0,8.008783,11.085017,8.973651,1073.0897,1.1973157,43.048702,1284.777,0.9006426
8.498747,1.0,8.50941,11.086019,7.4717693,1073.1868,1.2324097,44.27444,1322.5663,0.880267
8.998747,1.0,9.010037,11.08703,6.0401506,1073.2744,1.2671936,45.496944,1360.0107,0.86007214
9.498747,1.0,9.510665,11.088532,8.04266,1072.9,1.286818,46.561478,1380.5955,0.8487079
9.998747,1.0,10.011292,11.090023,10.022585,1072.5421,1.306096,47.63779,1400.8295,0.8375447
10.498747,1.0,10.51192,11.091023,11.023839,1072.8986,1.3103513,49.22448,1405.8628,0.8350916
10.998747,1.0,11.012547,11.091975,12.062735,1073.2501,1.3143594,50.81416,1410.6243,0.83278155
11.498747,1.0,11.513174,11.090974,14.565872,1073.4133,1.3087524,52.520245,1404.808,0.83603567
11.998747,1.0,12.013802,11.089945,16.972397,1073.5739,1.3036616,54.19719,1399.5433,0.83898884
12.498747,1.0,12.514429,11.087942,15.971142,1073.6404,1.3167781,54.846153,1413.7401,0.8313292
12.998747,1.0,13.015057,11.086,14.969887,1073.705,1.3296204,55.49658,1427.6385,0.8238307
13.498747,1.0,13.515684,11.086,13.968633,1073.705,1.3336254,56.194103,1431.9144,0.82152784
13.998747,1.0,14.016311,11.085952,12.918445,1073.6832,1.3374658,56.880432,1435.9862,0.81931955
14.498747,1.0,14.516938,11.08445,10.415308,1073.0175,1.3364145,57.234325,1433.9967,0.81992036
14.998747,1.0,15.017566,11.082912,8.122961,1072.3665,1.3351752,57.597176,1431.8235,0.82063174
15.498747,1.0,15.518193,11.080409,11.627352,1072.1248,1.3287672,58.206287,1424.5974,0.8243865
15.998747,1.0,16.01882,11.078075,15.018821,1071.8895,1.3218076,58.78248,1416.7908,0.8284592
16.498747,1.0,16.519447,11.080078,15.519448,1071.8234,1.3007313,58.515945,1394.1218,0.8406745
16.998747,1.0,17.020075,11.08188,15.919699,1071.7484,1.280468,58.190845,1372.3123,0.85241807
17.498747,1.0,17.520702,11.078876,13.91719,1071.458,1.2796669,56.46373,1371.0697,0.8528686
17.998747,1.0,18.02133,11.076021,12.0,1071.171,1.2777845,54.752556,1368.6752,0.85394627
18.498747,1.0,18.521957,11.076522,12.0,1070.9603,1.2516017,53.399612,1340.3983,0.8691153
18.998747,1.0,19.022585,11.076909,12.090339,1070.7386,1.2259496,52.02098,1312.6755,0.88397944
19.498747,1.0,19.523212,11.074907,14.092848,1070.286,1.2115315,50.09867,1296.683,0.89238995
19.998747,1.0,20.02384,11.072976,15.904643,1069.8403,1.197707,48.148808,1281.3344,0.90045244
20.498747,1.0,20.524467,11.072475,13.902133,1069.5334,1.1957546,45.647873,1278.8638,0.9015538
20.998747,1.0,21.025093,11.072075,11.974906,1069.2233,1.194048,43.201668,1276.6531,0.9025147
21.498747,1.0,21.52572,11.073577,11.474278,1068.8519,1.1970018,41.7925,1279.3674,0.90081257
21.998747,1.0,22.026348,11.074921,10.973651,1068.506,1.1999897,40.38458,1282.1505,0.89908934
22.498747,1.0,22.526976,11.073419,10.473024,1068.619,1.2035942,38.999043,1286.17,0.8969867
22.998747,1.0,23.027603,11.072,10.055207,1068.726,1.2068565,37.659023,1289.8132,0.8950828
23.498747,1.0,23.52823,11.072,11.056461,1068.726,1.2042532,37.099022,1287.0068,0.8965847
23.998747,1.0,24.028858,11.072028,12.028858,1068.699,1.2015865,36.540276,1284.103,0.8981241
24.498747,1.0,24.529486,11.072529,12.529486,1068.2314,1.1978818,36.002052,1279.6104,0.9002768
24.998747,1.0,25.030113,11.072909,13.030113,1067.8143,1.1944,35.497036,1275.4142,0.9023
25.498747,1.0,25.53074,11.071407,13.53074,1068.1853,1.1944,35.510902,1275.8508,0.9023
25.998747,1.0,26.031368,11.069905,13.87453,1068.5563,1.1938385,35.50054,1275.688,0.9026262
26.498747,1.0,26.531996,11.068404,11.872021,1068.9277,1.1848773,35.127777,1266.558,0.90783274
26.998747,1.0,27.032621,11.066936,10.0,1069.2687,1.176438,34.781765,1257.9478,0.9127359
27.498747,1.0,27.533249,11.065933,10.0,1069.1721,1.1754868,34.81956,1256.7933,0.91328657
27.998747,1.0,28.033876,11.064898,9.932246,1069.0198,1.1744645,34.837364,1255.4999,0.9138779
28.498747,1.0,28.534504,11.063396,8.930991,1068.1001,1.172462,34.57969,1252.2898,0.91502935
