SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
0.05055631,5.0,,,,,,,140.62413024902344,
0.5505563,54.449814,161.0271,21.154024,148.55449,21.140156,103.805336,17.384712,147.97528,20.647495
1.0505563,103.89963,159.02652,13.158258,146.32634,14.535072,103.78243,11.833929,145.95473,13.794034
1.5505563,153.34943,157.4992,12.583338,144.4786,13.296727,103.02652,11.131782,144.25395,12.717003
2.0505562,202.79924,153.26797,12.225852,140.48253,13.132984,99.129135,10.88812,140.215,12.438404
2.5505562,252.24905,153.95528,15.791336,141.58197,15.808966,99.96657,13.59204,141.2079,15.351383
3.0505562,301.69888,141.78777,17.900236,130.08467,17.669981,90.64412,14.731999,129.72514,17.226816
3.5505562,351.14868,132.27565,19.368912,121.110054,18.752907,83.42613,15.656315,120.76308,18.378147
4.050556,400.59848,127.440544,19.599377,117.02872,18.455544,81.0903,16.667015,116.64752,18.322388
4.550556,450.0483,123.0995,12.413098,112.58251,12.19153,77.57943,10.840043,112.29121,11.801361
5.050556,499.4981,132.3392,14.000497,121.509605,13.75207,87.35447,12.287873,121.34598,13.3899
5.550556,548.94794,129.40392,13.089051,118.26095,12.705588,84.58539,11.856699,118.19856,12.36943
6.050556,598.3977,129.47325,11.231995,118.16653,11.496922,83.26286,10.088493,118.05029,10.981387
6.550556,647.84753,130.30421,12.569793,118.09333,12.237198,81.58093,10.224349,118.05317,11.841507
7.050556,697.29736,125.653694,10.677342,114.75976,10.202506,79.57203,8.451695,114.535255,9.76204
7.550556,746.74713,121.256424,15.137306,109.761765,14.416448,75.47323,13.031534,109.7299,14.1360855
8.050556,796.197,130.00362,15.110723,118.75482,14.373701,82.45683,12.279202,118.5256,14.057311
8.550556,845.64685,131.99394,11.298743,119.70136,11.164854,82.47386,8.919928,119.62694,10.630593
9.050556,895.09656,129.15906,9.892037,117.47502,9.737995,81.772514,8.250053,117.381325,9.263395
9.550556,944.54645,138.07448,18.657745,126.75436,17.2727,89.051704,13.311002,126.43888,17.003668
10.050556,993.9963,128.48955,10.59182,117.651436,10.533591,81.78811,8.982882,117.366295,10.052949
10.550556,1043.446,114.0401,18.853142,105.22096,16.940441,71.556244,13.832242,104.66531,16.824038
11.050556,1092.8959,96.12316,31.35745,88.976456,29.473389,59.774937,24.014364,88.3875,29.332628
11.550556,1142.3457,106.53037,34.807903,98.45094,31.913986,68.64962,26.34951,98.016975,31.993023
12.050556,1191.7954,131.82036,14.492462,119.7308,14.172191,81.80065,12.296917,119.562485,13.780847
12.550556,1241.2452,129.33913,11.245294,117.88118,11.8178835,80.6743,9.684272,117.6308,11.18005
13.050556,1290.6951,145.06456,15.60929,132.01756,15.399373,91.88505,11.260079,131.89378,14.856378
13.550556,1340.1449,143.95522,11.043038,129.09259,12.007698,89.91089,9.510112,129.42346,11.281736
14.050556,1389.5947,139.24556,6.427728,125.4334,8.613719,86.067535,6.905691,125.52765,7.662861
14.550556,1439.0446,141.23492,6.9841404,127.13873,8.84971,86.781525,6.9946027,127.221794,7.9803805
15.050556,1488.4943,140.00458,6.198346,126.134445,8.267987,85.97027,6.497759,126.18338,7.304803
15.550556,1537.9441,142.87773,8.797082,127.58907,9.730175,85.31897,6.8279004,127.787544,8.925301
16.050556,1587.3939,144.44824,10.964397,129.43256,11.301997,87.7932,7.9272685,129.61853,10.657126
16.550556,1636.8438,152.6924,13.704139,137.10417,14.063672,93.977936,9.888772,137.30452,13.412376
17.050556,1686.2936,139.53386,10.028424,124.59896,10.684239,84.71475,8.257964,124.894485,10.08617
17.550556,1735.7434,145.49762,11.734289,130.47678,12.694775,89.496925,8.8954115,130.71147,11.973766
18.050556,1785.1931,140.49164,8.430281,125.678535,9.478856,86.66367,6.555667,126.010925,8.745821
18.550556,1834.6431,151.44077,17.63522,136.22171,17.379768,93.30812,12.649984,136.35892,16.886929
19.050556,1884.0928,145.82968,16.382782,131.1849,16.23201,89.95128,11.867594,131.32132,15.734146
19.550556,1933.5426,150.73088,16.766214,134.8155,15.937168,92.59026,10.796999,135.15045,15.549558
20.050556,1982.9926,152.97545,18.686031,137.69928,18.027407,95.24903,12.704607,137.8821,17.609573
20.550556,2032.4423,150.97136,15.749932,135.58385,15.428693,93.65587,10.372457,135.82803,14.912938
21.050556,2081.892,150.22266,17.480299,135.07285,17.240934,93.0102,12.298508,135.25677,16.735355
21.550556,2131.342,144.30643,12.113723,129.83713,12.348851,89.44786,8.113455,129.9972,11.711619
22.050556,2180.7917,138.01634,10.761677,123.87546,11.216604,83.52605,8.345713,123.96858,10.603905
22.550556,2230.2415,143.09773,13.71041,128.71603,13.633327,87.50152,9.853858,128.7979,13.140087
23.050556,2279.6914,153.79149,16.04837,138.41661,16.145338,93.790886,11.248071,138.46333,15.53093
23.550556,2329.141,144.266,15.1127615,129.39626,15.386815,87.39658,11.034686,129.52519,14.759401
24.050556,2378.5908,136.96132,6.170517,122.99609,8.551875,83.554665,6.978461,123.11743,7.566334
24.550556,2428.0408,138.01465,6.070018,123.97302,8.453251,84.86665,6.7864428,124.13479,7.471165
25.050556,2477.4905,136.98882,6.0193524,123.0891,8.454393,84.36628,6.9492693,123.2484,7.476524
25.550556,2526.9402,136.13487,6.168639,122.076546,8.580525,82.57981,6.8916273,122.213684,7.582658
26.050556,2576.3901,134.91164,6.2622747,121.055084,8.434515,81.99797,6.820992,121.18106,7.4337826
26.550556,2625.84,132.51956,6.6365805,118.39394,8.632507,79.96178,6.642953,118.62224,7.720271
27.050556,2675.2898,134.78398,5.6258526,120.523674,7.9801908,81.67727,6.1011715,120.7507,6.9339194
27.550556,2724.7397,131.26172,6.553466,116.925026,8.687511,77.95909,6.9959064,117.15967,7.726532
28.050556,2774.1895,135.05069,5.3187222,120.60435,7.701958,81.907684,5.849067,120.881744,6.670403
