SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
1,1,1,11.346,13,,,,,
2,1,2,11.352,11,1098.403,1.1553,,,0.925
3,1,3,11.357,1,1099.952,1.1536,27.3626,1268.918,0.926
4,1,4,11.176,7,1080.851,1.1547,31.211,1248.086,0.9253
5,1,5,11.113,2,1075.799,1.1768,33.067,1265.982,0.9125
6,1,6,11.081,11,1072.182,1.1355,37.2627,1217.416,0.9365
7,1,7,11.082,14,1072.279,1.1304,41.5033,1212.064,0.9395
8,1,8,11.085,9,1073.088,1.1967,43.0272,1284.114,0.901
9,1,9,11.087,6,1073.282,1.2668,45.4756,1359.598,0.8603
10,1,10,11.09,10,1072.534,1.306,47.602,1400.716,0.8376
11,1,11,11.092,12,1073.246,1.3145,50.7714,1410.77,0.8327
12,1,12,11.09,17,1073.572,1.3033,54.1793,1399.152,0.8392
13,1,13,11.086,15,1073.705,1.3295,55.4756,1427.51,0.8239
14,1,14,11.086,13,1073.705,1.3375,56.8689,1436.051,0.8193
15,1,15,11.083,8,1072.375,1.3354,57.5758,1432.077,0.8205
16,1,16,11.078,15,1071.892,1.3226,58.7925,1417.643,0.828
17,1,17,11.082,16,1071.76,1.2805,58.2601,1372.362,0.8524
18,1,18,11.076,12,1071.18,1.2789,54.8102,1369.88,0.8533
19,1,19,11.077,12,1070.759,1.2266,52.1077,1313.397,0.8836
20,1,20,11.073,16,1069.855,1.1978,48.2679,1281.452,0.9004
21,1,21,11.072,12,1069.242,1.1939,43.2723,1276.517,0.9026
22,1,22,11.075,11,1068.5,1.1998,40.4575,1281.939,0.8992
23,1,23,11.072,10,1068.726,1.207,37.6899,1289.968,0.895
24,1,24,11.072,12,1068.726,1.2018,36.5713,1284.362,0.898
25,1,25,11.073,13,1067.792,1.1944,35.4962,1275.388,0.9023
26,1,26,11.07,14,1068.533,1.1944,35.5239,1276.26,0.9023
27,1,27,11.067,10,1069.275,1.1765,34.7793,1258.023,0.9127
28,1,28,11.065,10,1069.082,1.1746,34.8548,1255.717,0.9138
29,1,29,11.062,8,1067.245,1.1706,34.3401,1249.305,0.9161
30,1,30,11.059,13,1068.502,1.1711,34.3525,1251.292,0.9159
31,1,31,11.06,7,1068.599,1.1723,33.6482,1252.707,0.9151
32,1,32,11.055,12,1067.6,1.1735,33.6573,1252.809,0.9145
33,1,33,11.051,11,1066.184,1.1686,33.8323,1245.956,0.9173
34,1,34,11.051,11,1066.184,1.1761,33.618,1253.9,0.913
35,1,35,11.047,12,1065.798,1.18,33.5409,1257.621,0.9107
36,1,36,11.049,12,1065.477,1.1668,34.5658,1243.245,0.9183
37,1,37,11.044,14,1066.538,1.177,34.9723,1255.288,0.9124
38,1,38,11.044,17,1066.538,1.1848,35.3967,1263.637,0.9079
39,1,39,11.053,18,1066.377,1.1867,37.2178,1265.447,0.9068
40,1,40,11.05,17,1066.602,1.1988,38.165,1278.596,0.8998
41,1,41,11.054,16,1068.019,1.1993,40.6909,1280.912,0.8995
42,1,42,11.06,15,1068.083,1.2139,42.6879,1296.584,0.891
43,1,43,11.065,13,1068.566,1.2127,45.8611,1295.856,0.8917
44,1,44,11.07,13,1069.049,1.2407,47.8785,1326.347,0.8755
45,1,45,11.068,18,1069.889,1.2454,50.1996,1332.464,0.8727
46,1,46,11.077,7,1071.795,1.3247,49.9929,1419.809,0.8267
47,1,47,11.08,15,1071.567,1.3794,50.204,1478.146,0.795
48,1,48,11.082,14,1070.208,1.2679,55.1998,1356.883,0.8597
49,1,49,11.056,18,1068.213,1.2733,54.7235,1360.191,0.8565
50,1,50,11.058,19,1068.406,1.2607,53.4006,1346.974,0.8638
51,1,51,11.062,18,1068.792,1.2578,51.6255,1344.345,0.8655
52,1,52,11.062,17,1067.761,1.2536,49.3322,1338.553,0.868
53,1,53,11.056,16,1068.213,1.2515,48.8735,1336.855,0.8692
54,1,54,11.052,16,1067.826,1.2328,49.0357,1316.445,0.88
55,1,55,11.048,18,1067.956,1.2499,48.414,1334.888,0.8701
56,1,56,11.048,16,1067.956,1.2489,48.4546,1333.769,0.8707
57,1,57,11.045,19,1066.634,1.2445,48.0384,1327.46,0.8732
58,1,58,11.044,21,1067.569,1.2632,46.1106,1348.566,0.8624
59,1,59,11.046,24,1067.762,1.2581,43.1906,1343.305,0.8654
60,1,60,11.049,22,1068.052,1.239,40.0635,1323.365,0.8764
61,1,61,11.05,16,1069.7,1.1767,38.2224,1258.681,0.9126
62,1,62,11.05,19,1069.182,1.1803,34.8191,1261.983,0.9105
63,1,63,11.052,13,1068.342,1.1804,32.1714,1261.119,0.9104
64,1,64,11.054,14,1070.087,1.165,31.2514,1246.648,0.9194
65,1,65,11.053,18,1069.473,1.1783,29.5903,1260.204,0.9116
66,1,66,11.051,14,1068.762,1.1839,29.4669,1265.292,0.9084
67,1,67,11.052,16,1068.342,1.1697,28.4923,1249.6,0.9167
68,1,68,11.05,16,1068.149,1.1833,27.5226,1263.968,0.9087
69,1,69,11.053,20,1067.923,1.1762,27.6684,1256.072,0.9129
70,1,70,11.052,19,1068.342,1.1853,26.8091,1266.286,0.9076
71,1,71,11.065,18,1067.535,1.1771,27.5624,1256.557,0.9124
72,1,72,11.108,17,1074.275,1.1875,26.3777,1275.673,0.9063
73,1,73,11.16,19,1081.92,1.1838,26.1113,1280.746,0.9085
74,1,74,11.362,16,1100.436,1.1815,24.2577,1300.169,0.9098
75,1,75,11.364,17,1100.63,1.1914,23.4422,1311.34,0.904
