SB_DEPTH_cm,hiresMS
1,34.6
2,55.1
3,65.1
4,105.8
5,125.2
6,103.3
7,52.8
8,62.9
9,54.3
10,41.6
11,98.2
12,97.9
13,60.0
14,47.5
15,47.1
16,47.2
17,52.5
18,58.0
19,75.4
20,125.8
21,126.5
22,91.4
23,111.4
24,142.4
25,183.3
26,129.1
27,71.4
28,37.4
29,29.0
30,37.8
31,41.7
32,47.7
33,42.4
34,13.9
35,53.5
36,52.0
37,29.6
38,65.7
39,48.2
40,41.0
41,17.4
42,5.7
43,14.8
44,21.7
45,37.6
46,44.7
47,42.5
48,49.0
49,45.6
50,33.4
51,65.9
52,63.1
53,79.1
54,76.9
55,76.8
56,147.3
57,131.0
58,106.2
59,99.8
60,71.4
61,65.4
62,53.5
63,60.0
64,59.4
65,48.4
66,45.0
67,46.3
68,55.0
69,62.5
70,64.4
71,44.7
72,42.0
73,35.0
74,33.8
75,35.0
76,35.7
77,42.1
78,46.3
79,48.3
80,53.7
81,54.5
82,49.8
83,62.7
84,72.2
85,103.2
86,100.6
87,49.6
88,13.4
89,8.5
90,8.7
91,9.0
92,18.6
93,57.8
94,71.1
95,84.8
96,90.2
97,101.1
98,123.3
99,78.6
100,70.9
101,69.8
102,72.3
103,76.9
104,68.9
105,62.0
106,58.5
107,63.6
108,65.5
109,66.3
110,69.7
111,77.3
112,85.2
113,113.4
114,158.0
115,163.8
116,78.0
117,66.6
118,61.1
119,68.7
120,66.1
121,79.1
122,59.4
123,69.2
124,90.1
125,77.7
126,181.3
127,134.6
128,121.1
129,118.0
130,121.6
131,129.0
132,121.3
133,153.1
134,131.0
135,153.1
136,179.1
137,18.3
139,6.9
140,189.8
141,258.2
142,287.0
143,245.6
144,155.4
145,217.0
146,118.6
147,65.1
148,56.8
149,80.4
150,79.9
151,87.3
152,74.0
153,92.4
154,148.6
155,172.9
156,63.4
157,50.5
158,50.9
159,26.7
160,58.8
161,56.5
162,70.7
163,176.7
164,96.0
165,66.0
166,42.8
167,32.9
168,54.5
169,72.5
170,61.3
171,51.0
172,28.9
173,62.6
174,75.6
175,68.2
176,72.4
177,99.7
178,240.6
179,202.7
180,81.1
181,32.9
182,32.5
183,33.9
184,72.5
185,92.0
186,41.9
187,23.2
188,94.5
189,111.1
190,4.5
191,7.4
192,1.7
193,55.7
194,113.2
195,43.7
196,16.3
197,21.1
198,67.9
199,99.9
200,73.6
201,47.5
202,34.4
203,49.6
204,126.1
205,136.8
206,165.0
207,173.3
208,261.8
209,202.1
210,247.7
211,81.6
212,89.0
213,81.7
214,117.9
215,256.0
216,196.6
217,83.8
218,67.7
219,57.3
220,50.3
221,79.8
222,97.2
223,109.9
224,117.6
225,114.4
226,102.8
227,123.9
228,143.4
229,152.8
230,132.7
231,105.8
232,127.2
233,156.3
234,133.6
235,161.2
236,101.9
237,150.3
238,118.1
239,125.7
240,138.6
241,194.8
242,143.4
243,193.0
244,218.2
245,212.5
246,205.6
247,221.2
248,323.8
249,161.1
250,170.8
251,174.7
252,156.0
253,140.7
254,145.2
255,146.2
256,162.3
257,133.7
258,143.6
259,144.6
260,181.7
261,221.5
262,187.9
263,85.3
264,98.8
265,197.3
266,163.3
267,157.9
268,206.0
269,207.6
270,116.5
271,151.3
272,183.4
273,214.1
274,178.2
275,348.4
276,210.3
277,210.2
278,263.1
279,237.3
280,167.0
281,139.4
282,179.8
283,194.3
284,188.6
285,161.2
286,209.5
287,233.1
288,38.7
290,413.4
291,294.9
292,359.7
293,303.4
294,317.9
295,318.8
296,339.3
297,255.7
298,140.6
299,339.5
300,301.9
301,256.5
302,398.8
303,402.3
304,392.2
305,291.1
306,226.5
307,208.4
308,169.7
309,102.0
310,279.9
311,190.6
312,157.5
313,240.7
314,266.5
315,195.9
316,182.9
317,138.4
318,143.5
319,169.2
320,134.6
321,138.1
322,185.0
323,152.3
324,117.5
325,141.7
326,120.1
327,106.1
328,128.3
329,166.2
330,119.6
331,134.9
332,112.7
333,106.8
334,112.8
335,129.5
336,182.1
337,124.8
338,175.5
339,141.1
340,144.5
341,112.4
342,146.4
343,176.0
344,212.6
345,162.9
346,119.1
347,157.2
348,109.0
349,152.6
350,119.6
351,120.7
352,135.9
353,97.3
354,99.7
355,116.5
356,178.5
357,131.1
358,106.8
359,102.9
360,122.9
361,125.0
362,129.2
363,146.2
364,142.7
365,132.4
366,111.5
367,89.2
368,115.4
369,103.3
370,114.6
371,125.9
372,124.0
373,90.5
374,78.7
375,58.6
376,74.6
377,101.2
378,103.6
379,102.7
380,88.2
381,103.6
382,143.6
383,172.5
384,260.2
385,203.6
386,130.9
387,184.6
388,155.8
389,112.7
390,47.5
391,54.4
392,93.3
393,148.8
394,176.2
395,139.2
396,97.8
397,123.3
398,140.4
399,119.1
400,131.8
401,163.2
402,151.3
403,142.6
404,149.8
405,146.2
406,124.4
407,94.6
408,101.5
409,109.4
410,77.7
411,65.3
412,117.6
413,125.3
414,87.9
415,97.3
416,123.5
417,158.5
418,120.5
419,133.8
420,114.6
421,160.9
422,162.5
423,287.3
424,204.1
425,152.5
426,131.3
427,175.6
428,189.9
429,106.7
430,139.2
431,94.7
432,87.6
433,169.6
434,175.2
435,93.1
436,111.4
437,18.9
