picked_depths_cm,category
29.62770108,1
81.04964565,1
109.6173926,1
152.4690131,1
210.0126177,1
259.3940089,1
317.7538349,1
375.2974395,1
426.7193841,1
462.2250125,1
529.7876052,1
556.9066882,1
586.2906565,1
617.3070675,1
639.7531544,1
654.0370279,1
708.3157472,1
753.207921,1
27.9952584,2
78.19287095,2
108.8011713,2
150.8365704,2
207.155843,2
255.3129022,2
312.0402855,2
367.1352261,2
423.0463881,2
459.7763485,2
514.4631784,2
555.2742455,2
584.2501032,2
614.8584035,2
633.2233837,2
652.4045852,2
688.3183243,2
749.9430356,2
26.36281571,3
75.74420692,3
105.1281752,3
147.1635744,3
193.2800802,3
247.9669101,3
298.5726334,3
358.1567913,3
415.2922853,3
456.5114631,3
500.1793049,3
553.6418028,3
582.6176605,3
614.0421821,3
630.7747197,3
651.5883639,3
684.2372176,3
735.2510515,3
35.74936115,4
81.86586699,4
118.5958274,4
162.6717799,4
218.9910525,4
266.740001,4
324.6917163,4
385.5002063,4
435.6978189,4
472.4277793,4
533.6443799,4
561.3959056,4
590.3717632,4
622.2043956,4
642.6099291,4
660.5667987,4
710.7644112,4
772.3891226,4
